id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
349,838,BERRY SPRINGS,NT,131.006734800000004,-12.718781220000000,5,40091.103305587676005
20065,839,COOLALINGA,NT,131.040201700000011,-12.520011240000001,5,23104.644605046578363
350,840,DUNDEE BEACH,NT,130.352938599999987,-12.724513070000000,5,69560.093508769772598
351,840,DUNDEE DOWNS,NT,130.510941400000007,-12.765548750000001,5,59280.998773603714653
352,840,DUNDEE FOREST,NT,130.451837100000006,-12.713669070000000,5,60150.782815729282447
353,841,DARWIN RIVER,NT,130.969862000000006,-12.819228630000000,5,49834.502519408881199
354,845,BATCHELOR,NT,131.038475000000005,-13.045118000000000,5,75815.410490918031428
355,846,ADELAIDE RIVER,NT,131.095001999999994,-13.210298999999999,5,95008.784386691826512
356,847,PINE CREEK,NT,131.759153999999995,-14.012122000000000,5,204226.579972218809417
20066,850,COSSACK,NT,132.172104100000013,-14.463691369999999,5,269681.682894542929716
20067,850,EMUNGALAN,NT,132.241831499999989,-14.416106700000000,5,269237.948354572756216
357,850,KATHERINE,NT,132.365352000000001,-14.195911000000001,5,257330.013156953791622
20068,850,KATHERINE EAST,NT,132.287437500000010,-14.465763080000000,5,276530.471720099623781
20069,850,KATHERINE SOUTH,NT,132.259838500000001,-14.481805789999999,5,276392.996156513399910
20070,850,LANSDOWNE,NT,132.388870499999996,-14.431628750000000,5,279635.524323884455953
358,851,KATHERINE,NT,137.050718999999987,-15.711423999999999,5,761168.015738960704766
20071,852,ARNOLD,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20072,852,BAINES,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20073,852,BARUNGA,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
360,852,BESWICK,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20074,852,BESWICK CREEK,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20075,852,BINJARI,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20076,852,BIRDUM,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20077,852,BRADSHAW,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20078,852,BUCHANAN,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20079,852,BULMAN WEEMOL,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20080,852,CRESWELL,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20081,852,DAGURAGU,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
361,852,DALY WATERS,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20082,852,DELAMERE,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
362,852,DUNMARRA,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20083,852,EDITH,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
363,852,EDITH RIVER,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20084,852,ELSEY,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
364,852,ELSEY STATION,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20085,852,FLORINA,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20086,852,FLYING FOX,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20087,852,GREGORY,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20088,852,GULUNG MARDRULK,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20089,852,GURINDJI,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
22843,852,HELEN SPRINGS STATION,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20090,852,JILKMINGGAN,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20091,852,KALKARINDJI,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
365,852,KALKARINGI,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
366,852,KATHERINE,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
367,852,LAJAMANU,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
368,852,LARRIMAH,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20092,852,LIMMEN,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
369,852,MANBULLOO,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20093,852,MARANBOY,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20094,852,MATARANKA,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20095,852,MCARTHUR,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20096,852,MINIYERI,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
24134,852,MINIYERRI,NT,134.083200000000005,-15.227700000000000,5,467975.367803521978203
20097,852,NGUKURR,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
24274,852,NITJPURRU,NT,0.000000000000000,0.000000000000000,17,12435575.473977699875832
20098,852,NITMILUK,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
373,852,NUMBULWAR,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
24062,852,NUTWOOD DOWNS,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20099,852,PELLEW ISLANDS,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20100,852,PIGEON HOLE,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20101,852,ROBINSON RIVER,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20102,852,STURT PLATEAU,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20103,852,TANAMI EAST,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20104,852,TIMBER CREEK,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20105,852,TOP SPRINGS,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20106,852,URALLA,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20107,852,VENN,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20108,852,VICTORIA RIVER,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
375,852,VICTORIA RIVER DOWNS,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20109,852,WARUMUNGU,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
376,852,WAVE HILL,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20110,852,WILTON,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
24306,852,WUGULARR,NT,0.000000000000000,0.000000000000000,17,12435575.473977699875832
20111,852,YARRALIN,NT,130.841866100000004,-16.452588800000001,5,451033.129240996087901
20112,853,TINDAL,NT,132.379121700000013,-14.531133649999999,5,288045.715269620704930
377,853,TINDAL RAAF,NT,132.417121000000009,-14.558121999999999,5,292826.144181531970389
378,854,BORROLOOLA,NT,136.424191000000008,-16.503809000000000,5,751635.741664915927686
